Matricula,U1,U2,U3
2147208,94,85,84
2191264,100,76,71
2173545,67,100,98
1887027,65,85,100
1801157,88,88,78
1981468,72,92,89
2060977,90,64,98
2017298,73,91,65
1831290,92,65,86
2116560,68,80,91
1877281,95,99,62
2168623,74,92,89
1986871,66,65,73
2119915,75,85,64
1801929,62,63,64
2149242,78,64,94
1920978,95,99,89
1847145,72,68,63
2199018,93,66,70
1961324,77,98,71
2026046,67,96,91
2159285,63,80,99
1841004,89,97,64
2166853,81,84,71
1979852,83,71,100
1923508,92,77,64
2192945,98,74,76
1981649,63,74,77
1924278,73,64,63
1903841,60,63,87
1812698,68,65,78
2059866,71,86,96
