Matricula,U1,U2,U3,U4,U5
2147208,86,73,95,73,74
2191264,71,61,81,82,97
2173545,81,71,77,91,89
1887027,94,62,64,66,68
1801157,76,67,99,90,83
1981468,88,70,68,77,63
2060977,65,77,73,78,63
2017298,64,78,79,99,83
1831290,81,78,75,74,66
2116560,74,90,98,87,79
1877281,89,78,69,81,68
2168623,98,87,100,78,60
1986871,96,94,100,87,99
2119915,77,85,82,72,78
1801929,60,80,88,69,75
2149242,69,76,92,85,98
1920978,83,92,64,91,91
1847145,96,78,87,62,87
2199018,61,69,73,75,85
1961324,80,77,93,73,68
2026046,74,79,75,66,63
2159285,69,92,77,97,100
1841004,73,62,74,91,87
2166853,92,98,65,81,68
1979852,97,94,91,77,92
1923508,78,64,86,64,90
2192945,72,67,99,69,99
1924278,86,100,99,82,75
1903841,78,100,77,85,77
1812698,73,92,70,79,94
2059866,80,71,86,94,74
