Matricula,U1,U2,U3,U4
2147208,62,62,100,82
2191264,92,74,98,75
2173545,93,61,67,66
1887027,84,93,98,99
1801157,70,65,95,73
1981468,71,85,64,85
2060977,67,68,100,90
2017298,73,93,100,66
1831290,85,86,65,75
2116560,74,94,100,65
1877281,68,74,78,86
2168623,88,84,68,74
1986871,91,67,71,77
2119915,73,89,74,86
1834998,87,100,76,61
2149242,96,63,63,100
1920978,91,63,81,74
1847145,82,79,84,77
2199018,70,68,66,70
1961324,80,100,74,65
2026046,96,64,66,64
2159285,85,63,71,61
1841004,89,79,97,91
1877868,62,79,82,60
1979852,74,89,71,93
1923508,83,81,87,61
2192945,60,86,62,72
1981649,60,86,71,72
1924278,76,88,93,73
1917038,73,91,77,65
1812698,74,85,79,94
2059866,64,92,97,63
